id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10812960,Beautiful Duplex in Crown Heights,17052634,Mike,Brooklyn,Crown Heights,40.67204,-73.94614,Private room,100,30,0,,,1,0
10813133,Homie and cool apartment,16326744,Dariusz,Brooklyn,Bushwick,40.70393,-73.9263,Entire home/apt,75,30,0,,,1,0
10822131,True 1 bedroom apt in Gramercy,24304455,Natallia,Manhattan,Gramercy,40.73839,-73.98675,Entire home/apt,99,30,0,,,1,0
10824421,"Large Apartment in Greenpoint, BK",7911103,David,Brooklyn,Greenpoint,40.72639,-73.94764,Entire home/apt,165,30,0,,,1,0
10833173,Cozy 2BR in the heart of Wburg,1334808,Kristina,Brooklyn,Williamsburg,40.7129,-73.95632,Entire home/apt,114,30,0,,,2,0
10836260,"Wyndham Midtown 45, New York City",17592675,Jennifer,Manhattan,Midtown,40.75247,-73.9715,Entire home/apt,400,30,0,,,1,0
10849426,Charming Loft on Upper East Side,56193545,Danny,Manhattan,Upper East Side,40.77516,-73.9555,Shared room,80,30,0,,,1,0
10850091,Charming Apartment in Midtown,11491637,Jason,Manhattan,Hell's Kitchen,40.7548,-73.9974,Entire home/apt,275,30,0,,,1,363
10851925,Large sunny room in great apartment,8573805,Eve,Queens,Ridgewood,40.70301,-73.91171,Private room,40,30,0,,,1,0
10857181,One bedroom Apt in Manhattan w/Private Garden,56235570,Patty,Manhattan,Civic Center,40.71372,-74.00655,Entire home/apt,225,30,0,,,1,0
10863225,Brownstone Apt Near Central Park,47898830,Dennis,Manhattan,Upper West Side,40.77765,-73.97703,Entire home/apt,199,30,0,,,1,0
10869804,Studio for 1,56312532,Danoulo28,Manhattan,Upper West Side,40.80283,-73.96504,Entire home/apt,60,30,0,,,1,0
10875244,Funky apartment,56342651,Valeria,Manhattan,Upper West Side,40.80282,-73.96552,Entire home/apt,120,30,0,,,1,0
10886628,Large Bedroom Available in 5BR Apt,56412357,Scott,Brooklyn,Greenpoint,40.72527,-73.94803,Private room,34,30,0,,,1,0
10909032,Private room - popular williamsburg,56536974,Sam,Brooklyn,Williamsburg,40.71102,-73.95085,Private room,50,30,0,,,1,365
10921091,Stuido apt near Lincoln Center,56607815,Jonathan,Manhattan,Upper West Side,40.77024,-73.98791,Entire home/apt,150,30,0,,,1,0
10922736,Welcoming Warm and Walk to all!,56616493,Daniele,Queens,Forest Hills,40.72315,-73.84251,Private room,57,30,0,,,1,0
10925844,Bedroom in Bushwick,7364894,Mac,Brooklyn,Bushwick,40.70128,-73.9253,Private room,40,30,0,,,1,0
10930279,House Near Subway,25044529,Xin,Manhattan,Upper West Side,40.79583,-73.97493,Entire home/apt,87,30,0,,,1,0
10937904,Spacious Room in Sunny Harlem Apt,17601552,Ashley,Manhattan,Harlem,40.81794,-73.94326,Private room,75,30,0,,,1,0
10985734,Clean & Quiet Greenpoint Apartment,56998739,Myles,Brooklyn,Greenpoint,40.72601,-73.94922,Entire home/apt,125,30,0,,,1,0
10995738,Cozy Private Room,1755999,Lindsey,Brooklyn,Williamsburg,40.70532,-73.92814,Private room,39,30,0,,,1,0
10995810,Room in gorgeous Astoria Apartment,57055185,Halley,Queens,Astoria,40.76827,-73.9146,Private room,33,30,0,,,1,0
11006134,Chelsea Apt w/ Private Rooftop Deck,24625891,T,Manhattan,Chelsea,40.7484,-74.0052,Entire home/apt,125,30,0,,,1,0
11031059,Private Room in Bedstuy Brownstone,44776542,Danielle,Brooklyn,Bedford-Stuyvesant,40.6856,-73.95104,Private room,66,30,0,,,1,0
11032588,Beautiful bedroom in Williamsburg,6265305,Federico,Brooklyn,Williamsburg,40.7169,-73.94714,Private room,100,30,0,,,1,0
11037105,Sunny in heart of Williamsburg,57275881,Allegra,Brooklyn,Williamsburg,40.70993,-73.95776,Entire home/apt,250,30,0,,,1,0
11039706,"Bright, Open, Family Friendly",57289930,Stephanie,Queens,Sunnyside,40.74322,-73.92251,Entire home/apt,115,30,0,,,1,0
11043651,Private room in two fl apartment,31879354,Zach,Brooklyn,Bushwick,40.70131,-73.93032,Private room,50,30,0,,,1,0
11059197,Clean and warm room in Flushing,57398859,Sean,Queens,Flushing,40.76726,-73.81217,Private room,27,30,0,,,1,0
11061063,Spacious 1 BD in Hells Kitchen,30918593,Cindy,Manhattan,Hell's Kitchen,40.76777,-73.99201,Entire home/apt,126,30,0,,,1,0
11085352,"Amazing Williamsburg, Brooklyn Apt.",10994250,Jerry,Brooklyn,Williamsburg,40.70937,-73.94893,Private room,50,30,0,,,1,0
11096888,Peaceful apartment close to F/G,2228137,Amanda,Brooklyn,Windsor Terrace,40.64931,-73.97977,Private room,45,500,0,,,1,358
11098018,Sunny private room in Bushwick,10199059,Manasvi,Brooklyn,Bushwick,40.69712,-73.93055,Private room,70,30,0,,,1,0
11102591,Room in the heart of Williamsburg,4110759,Lorenzo,Brooklyn,Williamsburg,40.71561,-73.95504,Private room,60,30,0,,,1,0
11130697,Luxury New York Apartment,57843472,David,Manhattan,Hell's Kitchen,40.76198,-73.99739,Private room,550,30,0,,,1,0
11144496,"New Spacious Master, Williamsburg",48819868,Nick,Brooklyn,Williamsburg,40.71328,-73.95106,Private room,200,30,0,,,1,0
11146878,North Williamsburg 2 BR Apt,57944278,Ashley,Brooklyn,Williamsburg,40.71874,-73.96077,Entire home/apt,200,30,0,,,1,0
11168007,Beautiful Studio in luxury building,6032945,Tabata,Brooklyn,Greenpoint,40.72126,-73.95363,Entire home/apt,113,30,0,,,1,0
11211612,Private Room in Williamsburg BK,57069428,Stuart,Brooklyn,Williamsburg,40.71537,-73.95031,Private room,50,30,0,,,1,0
11222221,Stunning  West Village Loft,18284376,Carol,Manhattan,West Village,40.73618,-74.009,Entire home/apt,150,30,0,,,1,0
11226397,"Broadway, Time Square; Wyndham 45 at Manhattan",47475013,Hamilton,Manhattan,Midtown,40.75269,-73.97244,Entire home/apt,1099,3,0,,,1,348
11239207,The Blair House Rental,33535733,Andrew,Manhattan,Midtown,40.76096,-73.9672,Private room,120,30,0,,,1,0
11242469,"Very Sunny, Couple/Family-friendly",17861935,Yoon,Queens,Flushing,40.76015,-73.79105,Entire home/apt,70,30,0,,,1,0
11270828,Westward Facing One Bedroom Style,20021635,Alexander,Brooklyn,Bushwick,40.69741,-73.91482,Private room,66,30,0,,,1,365
11279820,Newly Renovated 2 Bedroom in Soho!,22292023,Jordon,Manhattan,Lower East Side,40.72224,-73.99192,Entire home/apt,170,30,0,,,1,0
11282499,Hells Kitchen private room 3BR/2BA,5408649,Steven,Manhattan,Hell's Kitchen,40.76412,-73.98951,Private room,55,30,0,,,1,0
11284520,Charming Pad in Prime Bushwick,4592263,Natalie,Brooklyn,Bushwick,40.70269,-73.92583,Private room,90,30,0,,,1,0
11284626,Large BR in Spacious Artist Loft,7519175,Ira,Brooklyn,Bushwick,40.70568,-73.92271,Private room,75,30,0,,,1,0
11295918,"CLEAN, QUIET, COMFORTABLE APARTMENT",4671389,Samuel,Brooklyn,Prospect-Lefferts Gardens,40.66009,-73.96051,Private room,70,30,0,,,1,0
11320482,living affordably in prim RIVERDALE,24789838,Alex,Bronx,Kingsbridge,40.88451,-73.89817,Private room,45,30,0,,,2,0
11324531,PRIVATE ROOM - GREENPOINT,31860430,Grayson,Brooklyn,Greenpoint,40.73733,-73.95336,Private room,65,30,0,,,1,0
11341650,"Room off Jefferson L, Bushwick",978580,Marta,Brooklyn,Bushwick,40.705,-73.92541,Private room,75,30,0,,,1,0
