id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,NA
10031436,Spacious Sunny room in East Village,51499758,Sabra,Manhattan,Lower East Side,40.71689,-73.98321,Private room,90,30,0,0.7487066474,1,0,
10031678,Nice Bedroom in Chinatown Apt,46540057,Fabrizio,Manhattan,Chinatown,40.71658,-73.99818,Shared room,97,30,15,0.3,1,0,
10031902,Great studio near TIME SQUARE,51501835,Jeniffer,Manhattan,Hell's Kitchen,40.76372,-73.99318,Entire home/apt,110,30,6,0.09,177,325,
10032285,Charming bedroom in Manhattan,20884486,Luis,Manhattan,Morningside Heights,40.80616,-73.96492,Private room,70,30,0,0.7487066474,1,0,
10032487,Soho Old School,51504193,Hans,Manhattan,SoHo,40.72555,-73.9985,Entire home/apt,115,30,15,0.22,1,96,
10032495,Private Room on Upper West Side,2830735,Joshua,Manhattan,Upper West Side,40.80199,-73.96859,Private room,40,30,1,0.01,1,0,
10032560,Cozy and Chic UES Studio,39945901,Mercy,Manhattan,East Harlem,40.79009,-73.94749,Entire home/apt,200,30,36,0.54,1,0,
10034090,Cute Bedroom in Very Cute BK Apt!,7763913,Dawn,Brooklyn,Williamsburg,40.71035,-73.94497,Private room,40,30,1,0.01,1,0,
10034187,Unique Studio Loft in Brooklyn,47554473,Henry Norman,Brooklyn,Greenpoint,40.72889,-73.94397,Entire home/apt,228,3,48,0.95,14,340,
10034364,Spacious and sunny bedroom,1653404,Erica,Brooklyn,Williamsburg,40.70872,-73.95689,Private room,58,30,1,0.01,1,0,
